time_stamp_local,turbine_id,month,wind_speed,turbulence_intensity
2023-01-26 05:30:00,BHR-001,Jan,11.996666612625127,0.03108220761814666
2023-01-26 05:45:00,BHR-001,Jan,11.831555536058213,0.020541401991022595
2023-01-26 06:00:00,BHR-001,Jan,11.81611110475328,0.019116553441348282
2023-01-26 06:15:00,BHR-001,Jan,11.755888861550227,0.03348761009757606
2023-01-26 06:30:00,BHR-001,Jan,11.800999972025547,0.0562460023240336
2023-01-26 06:45:00,BHR-001,Jan,10.873333283530345,0.07231217203336704
2023-01-26 07:00:00,BHR-001,Jan,11.805222242143428,0.06586774813626635
2023-01-26 07:15:00,BHR-001,Jan,10.375888881683355,0.0239338392182476
2023-01-26 07:30:00,BHR-001,Jan,10.806222216288246,0.04214636834554609
2023-01-26 07:45:00,BHR-001,Jan,10.992888878716368,0.04069081607706548
2023-01-26 08:00:00,BHR-001,Jan,11.301111080381594,0.02164770620404093
2023-01-26 08:15:00,BHR-001,Jan,10.583444414138787,0.03530038941189996
2023-01-26 08:30:00,BHR-001,Jan,10.431666707992566,0.03851842419312019
2023-01-26 08:45:00,BHR-001,Jan,9.641555589040118,0.03219020862827735
2023-01-26 09:00:00,BHR-001,Jan,9.392666638692221,0.040303362892609385
2023-01-26 09:15:00,BHR-001,Jan,8.477444469663832,0.10014458269462705
2023-01-26 09:30:00,BHR-001,Jan,8.26788886388143,0.08255234576401171
2023-01-26 09:45:00,BHR-001,Jan,7.994333385891385,0.07087240895737568
2023-01-26 10:00:00,BHR-001,Jan,8.304555594126379,0.0947965119060132
2023-01-26 10:15:00,BHR-001,Jan,8.44544443236457,0.0865243170653158
2023-01-26 10:30:00,BHR-001,Jan,8.82377775616116,0.09338862072375176
2023-01-26 10:45:00,BHR-001,Jan,8.71522225803799,0.07053382015277383
2023-01-26 11:00:00,BHR-001,Jan,8.597000002331205,0.10263023709048824
2023-01-26 11:15:00,BHR-001,Jan,8.903222188949588,0.08741492442288813
2023-01-26 11:30:00,BHR-001,Jan,9.046888898213702,0.07883732935490044
2023-01-26 11:45:00,BHR-001,Jan,8.408222205903794,0.08934098769687045
2023-01-26 12:00:00,BHR-001,Jan,8.317333334816826,0.147852548508411
2023-01-26 12:15:00,BHR-001,Jan,8.62233330832587,0.1442362340847551
2023-01-26 12:30:00,BHR-001,Jan,8.415777780744765,0.1432850211319999
2023-01-26 12:45:00,BHR-001,Jan,8.454444482061598,0.08688678073338632
2023-01-26 13:00:00,BHR-001,Jan,9.008111086421543,0.08776815712381403
2023-01-26 13:15:00,BHR-001,Jan,8.232888889312745,0.09628086920556579
2023-01-26 13:30:00,BHR-001,Jan,8.282222243414985,0.05988742111283443
2023-01-26 13:45:00,BHR-001,Jan,7.683666650984022,0.07837940865080933
2023-01-26 14:00:00,BHR-001,Jan,8.000888877974615,0.10700683063579383
2023-01-26 14:15:00,BHR-001,Jan,8.450222225189211,0.08016605913133783
2023-01-26 14:30:00,BHR-001,Jan,8.075111118422615,0.0863056447216426
2023-01-26 14:45:00,BHR-001,Jan,8.207222238646613,0.1308495741243458
2023-01-26 15:00:00,BHR-001,Jan,9.249888908598166,0.0783229518674063
2023-01-26 15:15:00,BHR-001,Jan,8.425555556615196,0.10034483273981645
2023-01-26 15:30:00,BHR-001,Jan,9.102444439993963,0.07855895303330394
2023-01-26 15:45:00,BHR-001,Jan,8.894333349863683,0.08067804404187656
2023-01-26 16:00:00,BHR-001,Jan,8.829111136860316,0.11389183871292155
2023-01-26 16:15:00,BHR-001,Jan,9.170333356327482,0.10430881066452016
2023-01-26 16:30:00,BHR-001,Jan,8.974999968740672,0.11017046035597555
2023-01-26 16:45:00,BHR-001,Jan,8.90177772468991,0.08578004234093833
2023-01-26 17:00:00,BHR-001,Jan,9.525333300696479,0.03965981430432587
2023-01-26 17:15:00,BHR-001,Jan,8.773555520375572,0.08514564837868123
2023-01-26 17:30:00,BHR-001,Jan,8.66422221183777,0.09749914971154766
2023-01-26 17:45:00,BHR-001,Jan,8.506222201453316,0.13768903290580212
2023-01-26 18:00:00,BHR-001,Jan,7.410333302815754,0.12884619553905113
2023-01-26 18:15:00,BHR-001,Jan,8.18866665151384,0.06440619483462721
2023-01-26 18:30:00,BHR-001,Jan,7.7051111337873675,0.027708546195555652
2023-01-26 18:45:00,BHR-001,Jan,8.236111155615912,0.042454165366582725
